""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"403.00","21","23.763977","37.969570","318.372355","4.884134","57.39044287636143","28.695221438180717"
"403.00","22","23.764609","37.968971","318.577189","5.616441","50.24940407391194","25.12470203695597"
"403.00","23","23.765281","37.968386","311.719326","5.421137","47.02556830427295","23.512784152136472"
"403.00","24","23.766363","37.967765","109.913495","4.946208","84.436214774609","42.2181073873045"
"403.00","25","23.765359","37.968209","127.780715","4.590662","71.17019485199266","35.58509742599633"
"403.00","6","23.760951","37.971302","299.075068","4.620600","64.49830529459575","32.249152647297876"
"403.00","8","23.773816","37.967101","81.639112","4.926181","46.73512856301332","23.36756428150666"
"404.00","10","23.760279","37.971604","292.854021","4.764503","38.911979206914495","19.455989603457247"
"404.00","11","23.761143","37.971211","299.483854","4.620600","56.90826272388211","28.454131361941055"
"404.00","12","23.761025","37.971267","299.483854","4.620600","75.9031310522688","37.9515655261344"
"404.00","13","23.773731","37.967093","79.355070","4.926181","65.47281633878421","32.73640816939211"
"404.00","14","23.773592","37.967074","78.246507","4.926181","51.098689749785166","25.549344874892583"
"404.00","15","23.761261","37.971154","299.483854","4.620600","70.10104440751442","35.05052220375721"
"404.00","16","23.771435","37.967100","102.707945","5.153207","42.72981432399093","21.364907161995465"
"404.00","17","23.763760","37.969775","318.372355","4.884129","75.04257720639795","37.521288603198975"
"404.00","18","23.770485","37.967305","99.535854","5.234089","49.42339879012373","24.711699395061864"
"404.00","19","23.769819","37.967387","94.438598","5.205408","67.77093905189689","33.885469525948444"
"404.00","20","23.763851","37.969689","318.372355","4.884130","51.24315423750181","25.621577118750906"
"404.00","21","23.763941","37.969603","318.372355","4.884133","62.88818168521206","31.44409084260603"
"404.00","22","23.764568","37.969010","318.577189","5.616441","59.16820034385002","29.584100171925012"
"404.00","23","23.765236","37.968420","311.719326","5.421137","59.62704119308042","29.81352059654021"
"404.00","24","23.766416","37.967749","108.634585","4.946208","71.52342601066375","35.76171300533188"
"404.00","25","23.765399","37.968183","127.780715","4.590662","66.61776571751514","33.30888285875757"
"404.00","6","23.760906","37.971323","298.342297","4.620600","41.48957388442891","20.744786942214454"
"404.00","8","23.773872","37.967106","81.639112","4.926181","56.74824751368161","28.374123756840802"
"405.00","10","23.760230","37.971622","292.854021","4.764503","37.594601983496645","18.797300991748322"
"405.00","11","23.761098","37.971232","299.483854","4.620600","59.21749338830445","29.608746694152224"
"405.00","12","23.760980","37.971289","299.483854","4.620600","60.531965234614326","30.265982617307163"
"405.00","13","23.773787","37.967098","81.639112","4.926181","32.97038940601411","16.485194703007053"
"405.00","14","23.773647","37.967082","78.246507","4.926181","58.1166442573538","29.0583221286769"
"405.00","15","23.761216","37.971176","299.483854","4.620600","74.51821924699608","37.25910962349804"
"405.00","16","23.771491","37.967089","102.707945","5.153207","61.14758325011516","30.57379162505758"
"405.00","17","23.763724","37.969808","317.807017","4.884129","64.72050508287836","32.36025254143918"
"405.00","18","23.770543","37.967293","103.085584","5.234089","73.63652547499248","36.81826273749624"
"405.00","19","23.769878","37.967382","94.438598","5.205408","71.8961452136612","35.9480726068306"
"405.00","20","23.763815","37.969723","318.372355","4.884130","79.01183528318793","39.50591764159397"
